City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
285,ula,0,TR,10/4/2019,93,37.1,28.42,64.4,8.05
286,wamba,95,CD,10/4/2019,99,2.14,27.99,65.53,1.68
287,bow island,40,CA,10/4/2019,61,49.87,-111.38,46.4,11.41
288,amapa,75,HN,10/4/2019,83,15.09,-87.97,78.8,5.82
289,lavumisa,0,ZA,10/4/2019,82,-27.31,31.88,60.8,4.7
290,pamanukan,24,ID,10/4/2019,36,-6.28,107.82,93.43,4.79
291,richards bay,46,ZA,10/4/2019,85,-28.77,32.06,69.72,17.72
292,deputatskiy,100,RU,10/4/2019,85,69.3,139.9,16.84,23.69
293,vila,0,IT,10/4/2019,87,45.18,8.4,57.99,5.82
294,torbay,40,CA,10/4/2019,74,47.66,-52.73,41,11.41
295,guerrero negro,0,MX,10/4/2019,78,27.97,-114.04,67.65,13.76
296,ust-ilimsk,97,RU,10/4/2019,82,57.96,102.73,41.41,9.91
297,sahuaripa,73,MX,10/4/2019,71,29.05,-109.23,72.35,2.93
298,kargopol,100,RU,10/4/2019,97,61.51,38.95,32.39,16.51
299,east london,3,ZA,10/4/2019,94,-33.02,27.91,54.38,4.34
300,puerto colombia,40,CO,10/4/2019,100,10.99,-74.96,80.01,3.36
301,pangnirtung,0,CA,10/4/2019,72,66.15,-65.72,24.11,4.56
302,newport,99,GB,10/4/2019,87,51.59,-3,57.2,20.8
303,tashla,100,RU,10/4/2019,100,53.71,49.75,46.4,11.3
304,arman,89,RU,10/4/2019,78,59.7,150.17,27.31,5.48
305,boa vista,0,BR,10/4/2019,74,2.82,-60.67,80.6,5.82
306,cabo san lucas,40,MX,10/4/2019,78,22.89,-109.91,82,6.93
307,luba,0,PH,10/4/2019,68,17.32,120.7,83.96,4.47
308,namatanai,38,PG,10/4/2019,78,-3.66,152.44,80.47,4.27
309,margate,75,AU,10/4/2019,76,-43.03,147.26,55.99,20.8
310,kavaratti,78,IN,10/4/2019,72,10.57,72.64,81.82,4.45
311,tamandare,99,BR,10/4/2019,90,-8.28,-70.75,73.09,2.26
312,pochutla,75,MX,10/4/2019,65,15.74,-96.47,77,5.82
313,kasane,52,BW,10/4/2019,77,-17.8,25.16,61.69,5.64
314,taoudenni,0,ML,10/4/2019,10,22.68,-3.98,89.65,11.39
315,peniche,20,PT,10/4/2019,93,39.36,-9.38,66.2,4.7
316,jiayuguan,62,CN,10/4/2019,57,39.77,98.29,47.51,17.2
317,mount gambier,90,AU,10/4/2019,87,-37.83,140.78,53.6,9.17
318,west wendover,1,US,10/4/2019,50,40.74,-114.07,53.6,3.98
319,nouadhibou,1,MR,10/4/2019,54,20.93,-17.03,78.8,19.46
320,los llanos de aridane,20,ES,10/4/2019,88,28.66,-17.92,77,12.75
321,terrace,90,CA,10/4/2019,93,54.52,-128.61,48.2,8.05
322,ugoofaaru,100,MV,10/4/2019,73,5.67,73,81.92,7.31
323,nishihara,40,JP,10/4/2019,66,35.74,139.53,84.99,16.11
324,vung tau,99,VN,10/4/2019,67,10.35,107.08,85.43,3.91
325,fort nelson,75,CA,10/4/2019,67,58.81,-122.69,59,5.82
326,santo antonio do sudoeste,33,BR,10/4/2019,98,-26.07,-53.73,68.69,1.92
327,prince rupert,90,CA,10/4/2019,93,54.32,-130.32,51.8,3.36
328,goure,96,NE,10/4/2019,65,13.98,10.27,82.99,1.01
329,ginir,68,ET,10/4/2019,88,7.14,40.71,56.04,3.06
330,komsomolskiy,100,RU,10/4/2019,96,67.55,63.78,34.82,29.97
331,barabai,60,ID,10/4/2019,41,-2.59,115.38,92.9,5.01
332,bontang,92,ID,10/4/2019,72,0.12,117.47,85.25,2.91
333,tezu,0,IN,10/4/2019,67,27.93,96.16,79.3,3.87
334,kaina,98,NG,10/4/2019,66,12.64,8.59,78.81,6.33
335,mansehra,100,PK,10/4/2019,91,34.33,73.2,52.6,11.54
336,fare,33,PF,10/4/2019,79,-16.7,-151.02,77.78,15.23
337,tuatapere,100,NZ,10/4/2019,55,-46.13,167.69,63,15.99
338,suez,0,EG,10/4/2019,62,29.97,32.54,65.49,1.83
339,champerico,75,MX,10/4/2019,69,16.38,-93.6,78.8,8.05
340,bambanglipuro,23,ID,10/4/2019,86,-7.95,110.28,75.98,12.37
341,hohhot,40,CN,10/4/2019,50,40.81,111.65,51.8,11.18
342,zanesville,1,US,10/4/2019,68,39.94,-82.01,77,9.17
343,menongue,13,AO,10/4/2019,49,-14.66,17.68,59.41,4.21
344,muana,24,BR,10/4/2019,95,-1.53,-49.22,73.43,2.98
345,balabac,100,PH,10/4/2019,68,7.99,117.06,84.59,5.95
346,jutai,0,BR,10/4/2019,90,-1.71,-47.89,73.91,3.29
347,rutul,75,RU,10/4/2019,93,41.53,47.42,64.4,4.7
348,puteyets,93,RU,10/4/2019,82,65.17,57.09,33.85,11.54
349,conway,75,US,10/4/2019,88,35.09,-92.44,82.4,7.25
350,leningradskiy,100,RU,10/4/2019,93,69.38,178.42,32.89,16.04
351,birjand,0,IR,10/4/2019,33,32.86,59.22,44.6,4.7
352,chiredzi,0,ZW,10/4/2019,96,-21.05,31.67,62.18,0.72
353,kieta,97,PG,10/4/2019,80,-6.22,155.63,81.76,15.21
354,ahuimanu,90,US,10/4/2019,69,21.44,-157.84,87.01,5.82
355,kahului,40,US,10/4/2019,58,20.89,-156.47,87.8,18.34
356,la orilla,64,MX,10/4/2019,84,18,-102.23,78.97,3.76
357,san pedro,100,AR,10/4/2019,89,-33.68,-59.66,54,4
358,bud,0,NO,10/4/2019,74,62.91,6.91,44.6,9.17
359,bozuyuk,0,TR,10/4/2019,66,39.91,30.04,53.6,3.36
360,campbellton,100,CA,10/4/2019,86,48,-66.68,32.5,1.83
361,omboue,100,GA,10/4/2019,81,-1.57,9.26,77.77,12.62
362,tartagal,0,AR,10/4/2019,55,-22.52,-63.8,57.82,1.97
363,teberda,96,RU,10/4/2019,86,43.44,41.74,40.61,5.61
364,yuryev-polskiy,58,RU,10/4/2019,84,56.5,39.68,54.04,14.43
365,kouango,100,CF,10/4/2019,98,4.99,19.98,68.82,1.1
